RANK,Player,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,FG%,"TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPG,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Steven Adams,Okc,C,26.55,45,26.7,55.7,17,14.2,143,0.58,334,0.599,1,0,0.597,0.607,10.7,9.2,19.1,2.6,14.7,0.67,1.11,1.47,9.5,123.9,101.9
,Bam Adebayo,Mia,C-F,22.55,50,34.7,72.2,19.8,17.3,260,0.688,519,0.59,11,0.091,0.58,0.616,15.9,10.5,16.9,4.9,22.1,1.22,1.14,2.7,10.8,119.2,101.7
,LaMarcus Aldridge,San,F-C,34.55,46,33,68.7,22.8,7.6,165,0.842,540,0.524,126,0.421,0.544,0.585,18.8,7.4,12,2.4,11.1,0.59,1.67,1.33,8.4,117.5,108.1
,Nickeil Alexander-Walker,Nor,G,21.43,39,12.7,26.4,22.9,13.8,28,0.607,108,0.343,117,0.342,0.431,0.445,5.4,2,8.3,1.9,20.8,0.28,0.18,0.97,8.6,91.6,107.6
,Grayson Allen,Mem,G,24.33,30,16.6,34.6,18,10.7,35,0.857,85,0.541,91,0.363,0.543,0.577,7.4,2.2,7.1,1.4,11.7,0.23,0.03,0.77,6.8,110.2,110
,Jarrett Allen,Bro,C,21.8,50,27,56.3,14.9,12,194,0.629,335,0.654,5,0,0.644,0.658,11.2,9.7,18.5,1.4,7.9,0.64,1.48,1.16,7.9,129.1,99.4
,Kadeem Allen,Nyk,G,27.06,10,11.7,24.4,20.6,14.1,11,0.636,28,0.5,16,0.313,0.489,0.512,5,0.9,4,2.1,27.5,0.5,0.2,0.8,7.2,105.4,111.7
,Al-Farouq Aminu,Orl,F,29.38,18,21.1,44,13.3,14.7,29,0.655,50,0.32,36,0.25,0.343,0.395,4.3,4.9,12.3,1.2,7.6,1,0.44,0.94,5.6,87.6,101.8
,Justin Anderson,Bro,F-G,26.21,3,5.6,11.7,17,0,2,0.5,3,0.333,3,0,0.167,0.218,1,0.7,6.1,0,0,0,0.33,0,0,50,101.4
,Kyle Anderson,Mem,F-G,26.38,45,17.4,36.3,13.6,15,52,0.635,154,0.552,39,0.205,0.503,0.526,5,3.9,12,2.2,15.9,0.73,0.51,0.84,8,109.5,105.5
,Ryan Anderson,Hou,F,31.75,2,7,14.6,23.4,12.5,0,0,2,0.5,5,0.2,0.357,0.357,2.5,3.5,25.9,1,20,0.5,0,0.5,11.8,78.6,94.2
,Giannis Antetokounmpo,Mil,F,25.17,46,30.7,64,37.9,12.9,480,0.608,695,0.63,226,0.319,0.593,0.611,30.1,13.2,21.2,5.8,33.8,1.13,1.07,3.65,17.2,116.6,89.8
,Kostas Antetokounmpo,Lal,F,22.21,3,1.7,3.5,0,,0,0,0,0,0,0,,,0,0.3,10.7,0.3,22,0,0,0,0,,
,Thanasis Antetokounmpo,Mil,F,27.55,15,4.1,8.5,21.6,15.6,9,0.444,20,0.65,3,0,0.565,0.556,2,0.5,5.7,0.4,14,0.13,0.07,0.33,7.2,107.2,93.9
,Carmelo Anthony,Por,F,35.69,35,32.3,67.3,22.1,10.4,96,0.844,353,0.445,133,0.361,0.471,0.51,15.4,6.5,10.3,1.5,6.9,0.89,0.51,1.74,6.6,101,106.8
,OG Anunoby,Tor,F,22.56,50,29,60.4,14.8,12.2,57,0.649,242,0.579,171,0.363,0.564,0.574,10.1,5.4,9.8,1.6,7.8,1.08,0.66,1.22,6.1,108.8,100.2
,Ryan Arcidiacono,Chi,G,25.87,48,14.6,30.5,12.3,11.9,28,0.714,62,0.387,103,0.398,0.518,0.539,4,1.6,6,1.5,14.6,0.38,0.06,0.5,5.8,111.2,103.4
,Trevor Ariza,Sac,F,34.6,32,24.7,51.5,11.3,13.7,27,0.778,43,0.488,122,0.352,0.518,0.543,6,4.6,10.4,1.6,8.5,1.09,0.25,0.88,5.7,107.6,105.5
,D.J. Augustin,Orl,G,32.24,39,26,54.1,18.8,12.4,130,0.877,190,0.426,136,0.346,0.465,0.544,10.7,2.4,5,4.7,27.3,0.67,0.03,1.38,7.6,114,108.6
,Deandre Ayton,Pho,C,21.54,21,33.1,68.9,23.7,9.3,52,0.788,328,0.534,1,0,0.532,0.556,18.6,12,19.9,2.1,10.6,0.67,1.62,1.71,9.4,111.8,102.9
,Dwayne Bacon,Cha,G-F,24.44,38,17.7,36.9,19.5,12,53,0.66,174,0.379,67,0.284,0.392,0.424,5.9,2.5,7.7,1.3,11.7,0.61,0.05,0.95,6,86.8,108.4
,Marvin Bagley III,Sac,F,20.9,13,25.7,53.5,25.9,9.1,31,0.806,145,0.51,22,0.182,0.479,0.512,14.2,7.5,16.4,0.8,5.1,0.46,0.92,1.38,6.8,102.1,100.2
,Lonzo Ball,Nor,G,22.28,43,31.7,66,19.1,19.7,52,0.558,205,0.434,281,0.359,0.495,0.501,11.9,6.2,10.2,6.6,28.5,1.3,0.42,2.91,9.9,101.7,109.2
,Mo Bamba,Orl,C,21.74,47,15,31.3,16.9,13.5,30,0.667,142,0.542,82,0.341,0.531,0.544,5.5,5.1,17.9,0.6,6.6,0.36,1.4,0.79,6.8,106.5,95.7
,J.J. Barea,Dal,G,35.61,16,15.5,32.2,25.1,13.8,10,1,73,0.452,48,0.458,0.545,0.566,8.9,1.9,6.5,3.6,36.4,0.19,0.06,1.25,10.2,116.8,111.7
,Harrison Barnes,Sac,F,27.69,50,34.8,72.5,17.7,8.5,203,0.793,376,0.492,181,0.348,0.502,0.557,14.4,4.8,7.8,2.1,9,0.58,0.16,1.2,6,113,113.8
,RJ Barrett,Nyk,F-G,19.64,41,31.2,65.1,23.3,12.8,184,0.603,391,0.417,143,0.329,0.437,0.47,14.1,5.3,8.9,2.5,12.1,1,0.39,2.2,7.3,93.3,109
,Will Barton,Den,G,29.08,48,33.3,69.3,19.9,9.1,115,0.765,390,0.485,228,0.382,0.517,0.544,15.1,6.5,10.7,3.7,16.4,1.1,0.5,1.4,8.6,113,105.2
,Keita Bates-Diop,Min,F,24.04,37,17.5,36.4,15.9,5.6,65,0.708,112,0.5,94,0.33,0.498,0.535,6.8,3,8.9,0.8,6.8,0.46,0.54,0.38,5.8,111.4,109.7
,Nicolas Batum,Cha,G-F,31.14,22,23,47.8,9.3,20.5,10,0.9,32,0.438,49,0.286,0.432,0.463,3.6,4.5,10.7,3,17.9,0.77,0.36,1,6.3,105.4,107.1
,Aron Baynes,Pho,C-F,33.16,33,22.9,47.7,20.5,10.7,61,0.721,173,0.601,126,0.333,0.559,0.58,11.5,5.8,14,1.9,12.5,0.18,0.58,1.18,8.8,113.5,98.7
,Kent Bazemore,Por,G-F,30.6,43,25.8,53.8,15.9,14.4,72,0.806,155,0.368,171,0.327,0.433,0.475,7.9,4,8,1.4,7.2,1.05,0.72,1.4,5.5,91.7,104.9
,Darius Bazley,Okc,F-G,19.65,51,17.5,36.4,14.2,13.9,45,0.689,127,0.441,100,0.3,0.445,0.472,4.6,3.8,12,0.6,4.4,0.37,0.69,0.78,5,89.7,104.9
,Bradley Beal,Was,G,26.61,42,35.6,74.1,33.2,11.4,339,0.847,581,0.528,331,0.326,0.514,0.577,29.2,4.5,6.9,6.3,29.2,1.02,0.38,3.24,10.6,114.1,115.5
,Malik Beasley,Den,G,23.19,41,18.2,37.9,20.4,10.2,38,0.868,140,0.421,161,0.36,0.485,0.511,7.9,1.9,5.7,1.2,9.2,0.76,0.15,0.88,5.8,99.7,105.7
,Marco Belinelli,San,G,33.87,44,15.3,31.8,17,5.3,41,0.78,107,0.402,126,0.365,0.481,0.51,5.8,1.7,5.9,1.3,11.7,0.18,0,0.32,6.1,106.8,112.4
,Jordan Bell,Min,F,25.08,27,8.7,18.1,16,19.8,29,0.586,51,0.588,9,0.222,0.55,0.57,3.1,2.9,17.6,0.5,8.8,0.07,0.37,0.67,7.6,107.3,106.9
,DeAndre' Bembry,Atl,G-F,25.59,43,21.3,44.4,14,19.4,48,0.542,163,0.546,65,0.231,0.489,0.5,5.8,3.5,8.9,1.9,12.4,1.28,0.44,1.4,6.3,94.5,107.3
,Dragan Bender,Mil,F,22.22,7,13,27,12.4,18.3,3,0.667,12,0.5,9,0.444,0.571,0.582,3.7,2.9,10.9,1.3,12.3,0,0.71,0.71,7.4,105,87.7
,Davis Bertans,Was,F,27.23,40,29.3,61.1,18.2,7.4,79,0.873,107,0.458,336,0.429,0.598,0.627,15,4.6,8.6,1.8,8.5,0.73,0.68,0.95,6.8,122.1,112.3
,Patrick Beverley,Lac,G,31.57,40,28,58.4,13.3,14.9,38,0.632,115,0.53,176,0.364,0.54,0.549,8.5,5.8,10.6,4,18.9,1.23,0.63,1.35,8.3,114.6,97.4
,Khem Birch,Orl,C,27.35,36,20.8,43.3,9.2,13.9,65,0.6,107,0.486,1,0,0.481,0.523,4,4.8,12.2,1,6.5,0.44,0.56,0.61,5.1,114.3,102
,Goga Bitadze,Ind,C-F,20.55,40,8.9,18.6,17,14.5,29,0.69,81,0.568,24,0.167,0.495,0.526,3.1,2.1,13,0.5,7.3,0.05,0.68,0.5,6.7,101.1,97.1
,Bismack Biyombo,Cha,C,27.44,43,19.1,39.8,17.1,12.1,118,0.619,231,0.537,0,0,0.537,0.567,7.5,5.9,16.7,0.8,7,0.21,0.84,0.91,6.9,114.5,103.6
,Nemanja Bjelica,Sac,F,31.74,50,28.2,58.8,17.8,12.5,56,0.857,251,0.526,229,0.432,0.584,0.603,12.2,6.3,12.6,2.7,14.5,0.88,0.6,1.44,8.4,117.9,102.9
,Eric Bledsoe,Mil,G,30.16,42,26.7,55.7,24,14.4,143,0.825,346,0.538,150,0.347,0.532,0.578,15.4,4.7,8.6,5.2,27.9,0.88,0.5,2.24,10.8,114.1,97.6
,Bojan Bogdanovic,Uta,F,30.8,49,33.2,69.2,26.3,13.3,216,0.903,379,0.475,373,0.426,0.557,0.609,21.1,4.1,6.7,2.1,10,0.57,0.12,2.65,6.8,110.7,106.8
,Bogdan Bogdanovic,Sac,G,27.47,39,28.1,58.5,23.1,12.4,78,0.692,204,0.515,270,0.378,0.544,0.561,14.6,3.1,6.2,3.3,18.2,0.92,0.23,1.85,7.6,107.2,108.5
,Jonah Bolden,Phi,F,24.09,4,3.6,7.4,17.8,34,2,0,2,1,1,0,0.667,0.515,1,0.3,3.9,0,0,0.25,0,0.5,0,,
,Marques Bolden,Cle,C,21.81,1,2.8,5.8,0,,0,0,0,0,0,0,,,0,2,39.6,0,0,1,0,0,0,,
,Jordan Bone,Det,G,22.25,7,3.7,7.7,23.4,14.3,0,0,8,0.25,4,0,0.167,0.167,0.6,0.1,2.2,0.6,20.6,0,0,0.29,3.6,,
,Isaac Bonga,Was,G,20.25,44,17.6,36.7,10.2,15.7,51,0.765,103,0.592,36,0.389,0.59,0.629,4.6,3.3,10.2,1.1,7.7,0.66,0.32,0.68,5.8,122.3,106.7
,Devin Booker,Pho,G,23.27,48,36.1,75.1,29.6,15.7,344,0.916,612,0.565,254,0.362,0.559,0.631,26.7,4.1,6.2,6.3,29.5,0.73,0.23,3.94,9.8,115.4,107.2
,Chris Boucher,Tor,F-C,27.07,43,13,27.2,19.9,6.5,84,0.762,132,0.568,74,0.284,0.517,0.57,6.4,4.4,17.8,0.4,5.1,0.4,0.91,0.4,6.9,122.6,93
,Brian Bowen II,Ind,F-G,21.35,3,3.2,6.7,18.2,0,0,0,3,0.333,1,0,0.25,0.25,0.7,0.3,5.7,0,0,0,0.33,0,0,,
,Ky Bowman,Gol,G,22.64,37,22.3,46.5,16.8,15,29,0.828,174,0.443,90,0.344,0.468,0.49,7.3,2.5,6,2.8,19.2,1,0.14,1.32,6.7,97,106.7
,Avery Bradley,Lal,G,29.2,35,22.9,47.6,15.9,11.6,14,0.786,161,0.528,99,0.313,0.506,0.515,7.8,2.3,5.5,1.1,6.2,0.8,0.09,1,4.7,98.3,101.4
,Tony Bradley,Uta,C-F,21.99,37,10.3,21.5,16.4,13.3,31,0.613,110,0.636,0,0,0.636,0.643,4.3,4.2,22,0.2,3.6,0.27,0.41,0.51,6,126.1,86.8
,Jarrell Brantley,Uta,F,23.66,3,3.7,7.8,3.9,100,0,0,0,0,0,0,,,0,1.7,24.3,0.3,10.7,0,0.67,0.33,0,,
,Ignas Brazdeikis,Nyk,F,21.08,9,5.9,12.3,20.8,7.6,5,0.8,13,0.385,9,0.111,0.295,0.351,1.9,0.6,4.9,0.4,10.7,0,0.11,0.22,5.2,81.7,114.9
,Miles Bridges,Cha,F,21.88,51,30.5,63.5,19.2,11.3,92,0.793,339,0.504,225,0.342,0.508,0.534,12.7,5.6,10,1.7,9.3,0.61,0.75,1.51,6.5,104.1,109.5
,Mikal Bridges,Pho,F,23.43,51,25.2,52.5,12.4,13,84,0.81,187,0.604,103,0.311,0.555,0.596,7.6,3.9,8.6,1.6,8.6,1.43,0.55,0.96,5.7,114.4,104.3
,Oshae Brissett,Tor,F-G,21.63,16,7.5,15.6,14.9,16.8,6,0.833,19,0.474,13,0.231,0.422,0.462,2,1.4,9.7,0.3,4.5,0.25,0.06,0.44,5,91.4,94.8
,Ryan Broekhoff,Dal,G-F,29.46,15,10.6,22.1,16,8.4,8,0.875,8,0.25,43,0.419,0.569,0.596,4.3,2.1,10.5,0.5,6,0.27,0.27,0.33,6.2,116.3,102.8
,Malcolm Brogdon,Ind,G,27.15,37,30.5,63.6,26,14.1,125,0.904,359,0.49,157,0.338,0.495,0.546,16.9,4.6,8.3,7.3,35.9,0.73,0.19,2.54,10.9,111.2,106.9
,Dillon Brooks,Mem,G-F,24.04,51,28.4,59.2,24.5,9.9,141,0.844,429,0.438,271,0.399,0.5,0.537,16.1,3.4,6.4,2.1,10.7,0.96,0.43,1.65,6.8,104.3,103.4
,Charles Brown Jr.,Atl,G,22.01,9,4.5,9.3,25,12.4,5,1,10,0.3,9,0.333,0.395,0.472,2.2,0.4,5.4,0.2,7.3,0.22,0.22,0.33,5,92.9,111.9
,Troy Brown Jr.,Was,G-F,20.53,46,26.2,54.5,17.1,9.7,91,0.758,296,0.51,111,0.333,0.507,0.539,10.5,5.8,12,2.2,11.4,1.22,0.11,1.04,7.8,110.4,111.2
,Bruce Brown,Det,G-F,23.48,50,27.5,57.3,16,16.7,109,0.716,291,0.481,84,0.345,0.489,0.526,8.9,4.3,8.8,4,20.7,1.12,0.52,1.7,7.8,107.2,104.6
,Jaylen Brown,Bos,F-G,23.28,42,33.6,70.1,24.6,12.3,189,0.746,409,0.562,224,0.375,0.562,0.596,20.3,6.5,10.5,2.2,10.4,1.14,0.26,2.38,7.9,111.1,100.2
,Moses Brown,Por,C,20.32,7,3.3,6.8,25.3,21.8,4,0.5,9,0.444,0,0,0.444,0.465,1.4,1.6,24.6,0,0,0.14,0,0.43,0,,
,Sterling Brown,Mil,G-F,24.99,35,14.6,30.4,16.7,14.1,30,0.767,80,0.425,84,0.321,0.454,0.485,4.9,3.8,12.8,0.9,8.1,0.54,0.11,0.83,7,96.4,96.3
,Jalen Brunson,Dal,G,23.43,51,17.7,36.9,20.7,13.2,68,0.809,241,0.519,109,0.349,0.52,0.551,8.2,2.4,7.1,3.3,27.3,0.41,0.08,1.14,9.1,114.5,107.6
,Thomas Bryant,Was,C-F,22.52,29,25.5,53.1,18.6,12.4,75,0.747,213,0.638,44,0.341,0.617,0.643,12.9,7.4,15.9,2.2,12.8,0.34,0.9,1.41,9.3,123.5,110.3
,Reggie Bullock,Nyk,G-F,28.89,17,25,52.1,16.5,5.4,11,0.818,75,0.507,77,0.325,0.497,0.51,9.4,2.3,4.8,1.3,7.7,1.12,0,0.53,4.9,106.6,107.7
,Trey Burke,Phi,G,27.23,25,13.1,27.4,19.3,8.2,18,0.722,89,0.483,38,0.421,0.528,0.545,5.9,1.4,5.7,2.1,24.4,0.28,0.04,0.48,7.9,117.4,107
,Alec Burks,Gol,G,28.55,48,29,60.3,23.8,9.8,224,0.897,377,0.424,224,0.375,0.476,0.552,16.1,4.7,8.7,3.1,17.6,1.02,0.33,1.58,8.5,110.4,108.5
,Deonte Burton,Okc,G-F,26.01,30,8.5,17.6,18.6,8.4,12,0.5,54,0.5,39,0.179,0.403,0.412,2.7,1.3,8.5,0.3,5.7,0.1,0.3,0.3,4.8,83.4,101.6
,Jimmy Butler,Mia,F,30.4,44,34.4,71.8,25.3,11.4,412,0.837,477,0.497,110,0.255,0.475,0.588,20.5,6.7,10.9,6.3,28.4,1.77,0.55,2.25,11.1,123.5,106.1
,Bruno Caboclo,Mem,F,24.38,22,8.7,18.2,16.9,9.1,3,0.667,44,0.545,25,0.16,0.435,0.441,2.8,2,12.2,0.5,7,0.45,0.55,0.32,6.5,96.6,101.8
,Kentavious Caldwell-Pope,Lal,G,26.97,49,25.7,53.5,14.7,9.8,79,0.81,190,0.516,169,0.426,0.574,0.604,9.7,2.2,4.6,1.8,9.1,0.76,0.22,0.88,5.3,119.4,105.5
,Vlatko Cancar,Den,F,22.83,11,3.5,7.2,17.9,19,4,1,6,0.667,5,0.2,0.5,0.588,1.4,0.7,11.5,0.3,10.9,0.09,0.09,0.27,7.6,,
,Clint Capela,Hou,C,25.72,39,32.8,68.3,15.9,12.7,104,0.529,388,0.629,0,0,0.629,0.626,13.9,13.8,21.7,1.2,5.6,0.87,1.79,1.62,7.5,123.4,101.5
,DeMarre Carroll,San,F,33.53,15,9,18.8,15.3,20.9,20,0.6,16,0.375,13,0.231,0.362,0.437,2.2,2.1,12.2,0.7,10.1,0.13,0.13,0.67,6.6,88.1,100.1
,Wendell Carter Jr.,Chi,C-F,20.81,37,30,62.4,16.5,14.5,129,0.736,281,0.569,28,0.214,0.547,0.592,11.7,9.9,17.9,1.2,6.1,0.81,0.89,1.68,6.9,115.4,97.7
,Jevon Carter,Pho,G,24.4,36,14,29.2,13.3,14.6,11,0.818,56,0.375,74,0.405,0.508,0.523,3.9,1.8,6.9,1.4,13.2,0.75,0.28,0.64,6.1,103.9,103.4
,Vince Carter,Atl,G-F,43.03,45,15.5,32.3,16.8,9.5,27,0.778,82,0.476,162,0.278,0.436,0.457,5.2,2.1,7.3,0.9,8.1,0.4,0.51,0.6,5.5,91.9,108.3
,Michael Carter-Williams,Orl,G,28.32,28,17.3,36,18.6,12.5,55,0.764,114,0.482,43,0.279,0.465,0.519,6.7,2.9,9,2.5,21.8,1,0.43,0.93,8.4,109.4,99.9
,Alex Caruso,Lal,G,25.94,46,18.4,38.4,13.6,14.3,61,0.787,121,0.455,86,0.36,0.49,0.537,5.5,1.8,5.5,1.7,11.9,1.07,0.28,0.85,5.6,106.9,101
,Willie Cauley-Stein,Gol,C,26.47,42,22.7,47.3,14.4,10.9,57,0.614,261,0.559,0,0,0.559,0.572,7.8,6.1,14.5,1.5,10,1.14,1.19,0.83,7.3,114.2,102.5
,Tyson Chandler,Hou,C,37.35,25,8.8,18.3,5.9,25.2,13,0.462,18,0.778,0,0,0.778,0.717,1.4,2.6,15.6,0.2,3.4,0.24,0.32,0.32,4.1,132.8,97.5
,Wilson Chandler,Bro,F,32.74,22,20.5,42.7,13.7,16.9,16,0.875,46,0.674,70,0.314,0.552,0.577,6.5,4.6,11.5,1.2,8.1,0.59,0.36,1.14,6.4,103,98.8
,Zylan Cheatham,Nor,F,24.22,3,10.2,21.3,10.7,37.5,0,0,4,0.5,1,0,0.4,0.4,1.3,2,10.3,0.7,8.1,0,0.33,1,4.8,66.8,100.3
,Chris Chiozza,Was,G,24.21,10,12.3,25.5,14.5,20.9,0,0,18,0.167,16,0.438,0.397,0.397,2.7,1.5,6.7,2.8,28.5,1,0.2,0.9,7.3,91.4,107.9
,Marquese Chriss,Gol,F,22.6,47,18.6,38.8,18.7,15.9,111,0.757,243,0.551,30,0.233,0.529,0.579,7.9,5.4,15.6,1.7,14.7,0.62,1,1.3,9,112,104.3
,Brandon Clarke,Mem,F-G,23.38,44,21.8,45.4,19,9.4,82,0.829,309,0.66,48,0.396,0.651,0.678,12.1,5.7,14,1.5,10.2,0.52,0.86,0.93,8.6,128.4,106.6
,Gary Clark,Hou,F,25.22,19,12.2,25.4,12.4,2.9,7,0.857,10,0.7,55,0.364,0.569,0.588,4.2,2.3,9.8,0.6,7,0.11,0.42,0.11,5.9,130.7,105.7
,Jordan Clarkson,Cle,G,27.66,29,23,47.8,25.9,9.7,86,0.884,167,0.509,159,0.371,0.532,0.581,14.6,2.4,5.7,2.4,17.2,0.59,0.28,1.34,7.6,115.7,115.2
,Nicolas Claxton,Bro,F-C,20.81,14,13.1,27.3,14.4,14.2,19,0.474,39,0.641,7,0.143,0.576,0.57,4.4,3.1,12.1,1.1,12.7,0.07,0.57,0.64,7.5,116.1,105.2
,Chris Clemons,Hou,G,22.54,26,8.9,18.5,23.9,11.8,5,0.8,27,0.593,90,0.367,0.56,0.566,5.2,0.8,4.7,0.7,12.7,0.19,0.15,0.62,6.4,105.5,106.8
,Antonius Cleveland,Dal,G,26.01,5,4,8.3,14.7,14.5,2,0.5,4,0.5,1,0,0.4,0.425,1,0.6,7.8,0,0,0.2,0.2,0.2,0,74.4,101.8
,Amir Coffey,Lac,G-F,22.64,2,2.7,5.6,22.9,0,0,0,1,1,2,0.5,0.833,0.833,2.5,0,0,0.5,37.7,0,0,0,0,,
,John Collins,Atl,F,22.37,26,31.2,65,23.1,10.2,73,0.795,280,0.629,95,0.358,0.605,0.629,19.7,10.3,17.8,1.2,6.9,0.65,1.73,1.77,8,117.2,103.1
,Zach Collins,Por,F-C,22.21,3,28.8,60,13.5,21.7,6,1,12,0.5,7,0.429,0.553,0.624,9,4,7.1,2,9.2,0,0.67,2,5.8,111.5,106.8
,Mike Conley,Uta,G,32.32,30,27.6,57.5,23.7,12.5,93,0.774,204,0.402,147,0.361,0.46,0.504,13.2,3.2,6.2,4.1,22.1,0.7,0.13,1.87,8.1,103.9,103.7
,Pat Connaughton,Mil,G,27.08,46,18,37.5,12,14.5,25,0.72,94,0.606,101,0.307,0.531,0.546,4.9,4.3,11.9,1.6,11.2,0.33,0.54,0.76,7.2,110.8,99.7
,Quinn Cook,Lal,G,26.87,33,11.6,24.1,20.5,12.4,9,0.667,100,0.48,58,0.397,0.522,0.528,5.2,1.2,5.4,1.1,13.7,0.3,0.03,0.7,6.6,101.6,106.9
,Tyler Cook,Cle,F,22.37,11,3.2,6.6,16.7,7.3,6,0.833,10,0.7,0,0,0.7,0.752,1.7,0.9,15.9,0.1,4.6,0.09,0,0.09,6.7,,
,Robert Covington,Min,F,29.15,48,29.4,61.2,17.9,12,94,0.798,184,0.587,312,0.346,0.544,0.572,12.8,6,10.6,1.2,6,1.67,0.94,1.52,6.1,105.8,101.7
,Allen Crabbe,Atl,G-F,27.83,28,18.6,38.8,12.7,7.5,12,0.75,50,0.44,93,0.323,0.469,0.482,5.1,2.3,6.6,1,7.4,0.54,0.14,0.43,4.9,99.8,112.2
,Torrey Craig,Den,F,29.13,39,17.1,35.6,12.2,9,29,0.621,82,0.598,77,0.286,0.516,0.53,4.7,3.2,10.2,0.6,4.6,0.36,0.69,0.44,4.9,109.8,98.8
,Jae Crowder,Mem,F,29.59,45,29.4,61.2,15.7,10.9,95,0.789,133,0.519,266,0.293,0.466,0.507,9.9,6.2,11.2,2.8,12.1,1.04,0.31,1.2,7.6,104.9,108
,Jarrett Culver,Min,G-F,20.96,49,24.6,51.3,19.5,11.6,95,0.453,281,0.459,180,0.272,0.439,0.446,9.1,3.5,7.4,1.9,11.5,0.98,0.69,1.35,6.4,91.4,107.5
,Seth Curry,Dal,G,29.46,47,22.9,47.8,18,9.2,65,0.877,163,0.54,222,0.414,0.587,0.615,10.8,2.1,4.8,1.8,11.4,0.53,0.15,0.89,6,120.8,108.7
,Stephen Curry,Gol,G,31.9,4,28,58.4,33.8,16.9,18,1,29,0.621,37,0.243,0.477,0.548,20.3,5,9.5,6.5,42.1,1.25,0.5,3.75,12.4,104.5,106.4
